Main Genre,Main Production,Release Year,Title,Duration,Index,Number Of Votes,Score
thriller,IN,2021,Doctor,150,140,14590,7.6
musical,US,2015,"What Happened, Miss Simone?",101,141,13703,7.6
comedy,US,1987,Eddie Murphy Raw,93,142,19646,7.6
comedy,IN,2011,Delhi Belly,102,143,29578,7.6
drama,MW,2019,The Boy Who Harnessed the Wind,113,144,36805,7.6
comedy,IN,1994,Kabhi Haan Kabhi Naa,158,145,18224,7.6
drama,US,2019,The Two Popes,125,146,120871,7.6
drama,US,2020,The Social Dilemma,94,147,79674,7.6
thriller,TH,2017,Bad Genius,130,148,20430,7.6
animation,US,2021,The Mitchells vs. the Machines,113,149,100787,7.6
drama,US,2009,Gifted Hands: The Ben Carson Story,86,150,10210,7.6
thriller,GB,2019,Tell Me Who I Am,85,151,14215,7.6
documentary,US,2018,RBG,98,152,14037,7.6
drama,IN,2014,Highway,133,153,28370,7.6
documentary,US,2020,Athlete A,104,154,10544,7.6
comedy,JP,1979,Lupin the Third: The Castle of Cagliostro,100,155,30277,7.6
drama,GB,2003,Love Actually,139,156,474176,7.6
western,US,2016,Hell or High Water,102,157,224900,7.6
comedy,IN,2009,Wake Up Sid,138,158,30818,7.6
crime,IN,2020,Ludo,150,159,37528,7.6
horror,IN,2018,Stree,128,160,32814,7.6
thriller,IN,2008,Aamir,99,161,11241,7.6
drama,US,2001,I Am Sam,132,162,149082,7.6
western,US,2010,True Grit,110,163,333378,7.6
comedy,AR,2016,The Distinguished Citizen,118,164,11495,7.5
romance,IN,2008,Jodhaa Akbar,213,165,32188,7.5
thriller,US,2013,The Conjuring,107,166,491048,7.5
thriller,IN,2021,Dhamaka,104,167,39620,7.5
romance,IN,2017,Bareilly Ki Barfi,123,168,23011,7.5
drama,GB,2012,Les Mis̩rables,157,169,325132,7.5
fantasy,JP,2012,Berserk: The Golden Age Arc I - The Egg of the King,76,170,12278,7.5
drama,IN,1998,Dil Se..,163,171,28409,7.5
thriller,PS,2013,Omar,96,172,14230,7.5
fantasy,FR,2019,I Lost My Body,81,173,31531,7.5
