Age Certification,Description,Genres,Id,Imdb Id,Production Countries,Release Year,Title,Type,Imdb Score,Imdb Votes,Runtime,Seasons,Tmdb Popularity,Tmdb Score
PG-13,"A woman searches for her adult son, who was taken away from her decades ago when she was forced to live in a convent.","['drama', 'comedy', 'european']",tm187279,tt2431286,['GB'],2013,Philomena,MOVIE,7.6,99647,97,,9.752,7.4
R,"Homeless and on the run from a military court martial, a damaged ex-special forces soldier navigating London's criminal underworld seizes an opportunity to assume another man's identity, transforming into an avenging angel in the process.","['action', 'thriller', 'european']",tm165521,,"['US', 'GB']",2013,Redemption,MOVIE,,,100,,52.251,6.2
PG-13,"John Gregory, who is a seventh son of a seventh son and also the local spook, has protected the country from witches, boggarts, ghouls and all manner of things that go bump in the night. However John is not young anymore, and has been seeking an apprentice to carry on his trade. Most have failed to survive. The last hope is a young farmer's son named Thomas Ward. Will he survive the training to become the spook that so many others couldn't?","['action', 'fantasy']",tm141648,tt1121096,"['US', 'GB', 'CN', 'CA']",2014,Seventh Son,MOVIE,5.5,76939,102,,45.215,5.5
TV-14,"The â€œSeven Deadly Sinsâ€â€”a group of evil knights who conspired to overthrow the kingdom of Britanniaâ€”were said to have been eradicated by the Holy Knights, although some claim that they still live. Ten years later, the Holy Knights have staged a Coup d'Ã©tat and assassinated the king, becoming the new, tyrannical rulers of the kingdom. Elizabeth, the king's only daughter, sets out on a journey to find the â€œSeven Deadly Sins,â€ and to enlist their help in taking back the kingdom.","['scifi', 'action', 'animation', 'comedy', 'fantasy']",ts314002,tt3909224,['JP'],2014,The Seven Deadly Sins,SHOW,7.9,31085,25,5,25.225,8.503
PG-13,"A look at the life of Cecil Gaines who served eight presidents as the White House's head butler from 1952 to 1986, and had a unique front-row seat as political and racial history was made.","['drama', 'european']",tm176630,tt1327773,['US'],2013,The Butler,MOVIE,7.2,114768,132,,15.115,7.355
TV-G,"Sam Puckett is loud, independent, and tough as nails, while Cat Valentine is sweet as pie and super flighty. But that doesn't stop this unlikely pair from becoming best buds and roomies!

Together, they're a power duo with a love for fun and adventure -- it's just too bad that it doesn't come cheap. Burgers at their favorite robot restaurant Bots don't grow on trees, after all. A booming out-of-home babysitting business quickly becomes the answer to their empty-pocket problems, but also an extra reason for countless wacky adventures to come!","['comedy', 'drama', 'family']",ts32060,tt2487090,['US'],2013,Sam & Cat,SHOW,5.6,9744,24,1,29.349,7.9
R,"A young woman learns that she has inherited a Texas estate from her deceased grandmother.Â After embarking on a road trip with friends to uncover her roots, she finds she is the sole owner of a lavish, isolated Victorian mansion. But her newfound wealth comes at a price as she stumbles upon a horror that awaits her in the mansionâ€™s dank cellars.","['thriller', 'horror']",tm184608,tt1572315,['US'],2013,Texas Chainsaw 3D,MOVIE,4.8,49312,87,,53.401,5.4
PG,"After the disastrous food storm in the first film, Flint and his friends are forced to leave the town. Flint accepts the invitation from his idol Chester V to join The Live Corp Company, which has been tasked to clean the island, and where the best inventors in the world create technologies for the betterment of mankind. When Flint discovers that his machine still operates and now creates mutant food beasts like living pickles, hungry tacodiles, shrimpanzees and apple pie-thons, he and his friends must return to save the world.","['animation', 'scifi', 'drama', 'comedy', 'family', 'fantasy']",tm187979,tt1985966,['US'],2013,Cloudy with a Chance of Meatballs 2,MOVIE,6.3,102071,95,,64.17,6.443
R,"Trip, a young roadie for Metallica, is sent on an urgent mission during the band's show. But what seems like a simple assignment turns into a surreal adventure.",['music'],tm171228,tt2172935,['US'],2013,Metallica: Through the Never,MOVIE,7.1,17513,93,,14.231,6.8
TV-MA,Derek is a loyal nursing home caretaker who sees only the good in his quirky co-workers as they struggle against prejudice and shrinking budgets to care for their elderly residents.,"['drama', 'comedy', 'european']",ts2727,tt2616280,['GB'],2013,Derek,SHOW,8.1,32622,27,3,9.295,7.4
