Age Certification,Description,Genres,Id,Imdb Id,Production Countries,Release Year,Title,Type,Imdb Score,Imdb Votes,Runtime,Seasons,Tmdb Popularity,Tmdb Score
,"Red Snow is a dramatic adventure that begins when Dylan, a Gwich'in soldier from the Canadian Arctic, is caught in an ambush in Panjwayi, Afghanistan. His capture and interrogation by a Taliban Commander releases a cache of memories connected to the love and death of his Inuit cousin, Asana, and binds him closer to a Pashtun family as they escape across treacherous landscapes and through a blizzard that becomes their key to survival.",['drama'],tm1028083,tt6670074,['CA'],2019,Red Snow,MOVIE,4.5,157,100,,2.503,5
,"It follows the story of Meghna, who gets embroiled in a series of events after her phone gets stolen.","['drama', 'crime', 'comedy']",tm439365,tt4971258,['IN'],2019,Bombairiya,MOVIE,4.5,423,108,,2.423,7.5
,"Dreams and reality collide as a young woman navigates a tumultuous relationship amid rising social tensions, protests and tragedies in Paris.","['drama', 'european']",tm372035,tt7920024,['FR'],2019,Paris Is Us,MOVIE,4.6,1425,84,,7.113,4.3
,"After a mysterious woman saves her daughter from a deadly snakebite, a single mother must repay the debt by killing a stranger before sundown.","['horror', 'thriller', 'crime', 'drama']",tm449590,tt9257484,['US'],2019,Rattlesnake,MOVIE,4.6,8629,85,,14.704,5.2
,"Tormented and left for dead by a scorned lover, a woman finds the strength within herself to recover and retaliate against her abuser.","['drama', 'thriller']",tm454096,tt9271164,['US'],2019,Only Mine,MOVIE,4.6,3165,87,,14.846,5.3
,"A team of former robbers arrived at Paradise: Phuket, southern Thailand. Now traders, they are happy days. Until the day when the devil arrives: Mehdi, sentenced to 15 years in prison during the robbery, comes to recover his share of the cake.","['action', 'thriller', 'crime', 'drama', 'european']",tm450832,tt7511008,['FR'],2019,Paradise Beach,MOVIE,4.6,2242,93,,12.684,5.2
,"The journalist Aluta finds herself unfolding a government conspiracy involving her father figure Frank Drake, a corrupt mine magnate.","['crime', 'thriller', 'action']",tm1149814,tt12499674,['ZA'],2019,Uncovered,MOVIE,4.6,24,95,,0.887,
,"After moving back to her family home to care for her dying mother, a nurse haunted by her childhood memories must struggle with an evil force in the house.","['documentation', 'horror', 'european']",tm484989,tt4008566,['ES'],2019,The Influence,MOVIE,4.6,3738,99,,15.659,4.8
,"A 2019 stand-up comedy special by comedian Mike Epps, where he tackles sexual misconduct, special education, aging body parts and more.",['comedy'],tm813938,tt10376958,['US'],2019,Mike Epps: Only One Mike,MOVIE,4.7,306,63,,2.06,6.6
,"Don Koch tries to renovate a rundown mansion with a sordid history for his growing family, only to learn that the house has other plans.","['horror', 'thriller', 'drama']",tm458467,tt9026184,['US'],2019,Girl on the Third Floor,MOVIE,4.7,10005,93,,10.168,5.3
,"After learning of his brother's death during a mission in Romania, a former soldier joins two allies to hunt down a mysterious enemy and take his revenge.",['action'],tm461829,tt9815714,['US'],2019,The Hard Way,MOVIE,4.8,3250,94,,16.86,5.4
,The movie explores the horrors and fantasies of a patient trapped in a mental asylum.,['horror'],tm461907,tt6018556,['IN'],2019,Rakkhosh,MOVIE,4.8,184,113,,3.565,6.1
,"Under pressure to marry, a perennial bachelor hires a much younger woman to act as his fiancÃ©e, but her bond with his family throws his plan for a loop.","['comedy', 'romance', 'drama']",tm810642,tt10076106,['IN'],2019,Manmadhudu 2,MOVIE,4.8,708,155,,2.4,6
,"When a long list of shenanigans lands Tyler in hot water, heâ€™s forced to suit up and spend his summer training for an elite junior lifeguard program.","['family', 'action', 'comedy']",tm474061,tt9228950,['US'],2019,Malibu Rescue,MOVIE,4.9,1277,69,,12.447,6.4
,"Snatched off the street and held for ransom, a bound and gagged woman uses her limited powers to derail her two masked abductors' carefully-laid plans.","['crime', 'thriller']",tm814734,tt8613876,['DE'],2019,Kidnapping Stella,MOVIE,4.9,6008,89,,13.895,5.3
,"After his sudden firing, a popular radio DJ moves in with his aunt, bringing along his four spoiled children, and a plan to return to the airwaves.","['drama', 'comedy', 'romance', 'family']",tm838705,tt10091530,['US'],2019,Holiday Rush,MOVIE,4.9,2723,94,,10.776,5.6
,"Hundreds of refugee children in Sweden, who have fled with their families from extreme trauma, have become afflicted with 'uppgivenhetssyndrom,' or Resignation Syndrome. Facing deportation, they withdraw from the world into a coma-like state, as if frozen, for months, or even years.",['documentation'],tm467116,tt9204606,"['SE', 'US']",2019,Life Overtakes Me,MOVIE,5,45,39,,8.087,6.4
,"When a former BlackRose cartel assassin deliberately betrays them by refusing to complete her mission, the cartel orders her execution. Unbeknownst to them, she fakes her own death and is able to create a new life of her own. When the cartel discovers she is alive, the hunter becomes the hunted as she fights to get revenge on those who took her new life away from her.","['action', 'crime', 'drama', 'thriller']",tm465427,tt7594584,['PH'],2019,Maria,MOVIE,5,2065,89,,9.293,6.3
,"While being relentlessly attacked, a Man seeks to uncover a mystery and stop the unknown memories that are controlling him, only to learn the difference between reality and illusions.","['thriller', 'fantasy']",tm816983,tt10508182,['KW'],2019,In Paradox,MOVIE,5,147,95,,1.234,4
,"A battle for power ensues as warring gangters thrive to gain possession of a ""black box"" that can make them richer than they already are, and an undercover cop intervenes with the help of his sharp intellect and an instinct to kill.","['thriller', 'action', 'crime', 'drama', 'romance']",tm319139,tt6836936,['IN'],2019,Saaho,MOVIE,5,19610,171,,7.256,6.1
,"Mia is happy to be able to spend a vacation with her dad, but Lupe, Mercedes, Juanma and Alvaro arrive by surprise at the same resort ... and bring the school drama with them!","['music', 'family']",tm842976,tt11162974,['AR'],2019,Go! The Unforgettable Party,MOVIE,5.1,144,60,,12.439,7.6
,Follow PinkFong and Baby Sharkâ€™s space journey as they visit mysterious planets to help find the special star for PinkFong!,"['animation', 'family', 'music', 'fantasy']",tm843345,tt13836494,"['KR', 'US']",2019,Pinkfong & Baby Shark's Space Adventure,MOVIE,5.1,74,66,,3.193,4
,A new student at a soccer academy is determined to beat her rival's team in the national tournament.,"['drama', 'family', 'comedy']",tm447755,tt8211214,['AU'],2019,Back of the Net,MOVIE,5.1,704,86,,9.121,6.8
,"When a young soccer fan and his idol forge an unexpected friendship, the connection teaches them both lessons about life and their love of the game.","['drama', 'family', 'comedy', 'sport']",tm462037,tt9808532,['CL'],2019,Mi amigo Alexis,MOVIE,5.1,346,100,,5.082,6.3
,"RK Nagar is an upcoming Indian Tamil comedy film, written and directed by Saravana Rajan. The film features Vaibhav and Sana Althaf in the lead roles, while Sampath Raj plays a supporting role.","['comedy', 'romance']",tm510525,tt7748196,['IN'],2019,RK Nagar,MOVIE,5.1,137,110,,1.69,4
,"While she advocates for her female clients in divorce cases, a lawyer's trauma from sexual violence impacts her own marriage.",['drama'],tm459329,tt8852536,['IN'],2019,Firebrand,MOVIE,5.1,280,116,,2.824,7.3
,"A guy's family wants him to get married but it is harder than he thought. On one hand, his grandmother wants him to get married to a girl of her choice, and on the other, his mother is eager to select a girl for him. On top of that, he is already in love with a girl. His dilemma of being stuck between three women forms the crux of the story.","['comedy', 'romance']",tm477403,tt8852408,['IN'],2019,Kaake Da Viyah,MOVIE,5.1,74,133,,0.999,6
,"Hollywood's finest pay tribute to ""Rowan and Martin's Laugh-In"" for an uncensored and unforgettable celebration at The Dolby Theater.","['comedy', 'music']",tm474263,tt9880234,[],2019,Still Laugh-In: The Stars Celebrate,MOVIE,5.2,590,60,,2.988,5.5
,"As two teen prodigies try to master the art of time travel, a tragic police shooting sends them on a series of dangerous trips to the past.","['scifi', 'thriller', 'action', 'crime', 'drama']",tm465724,tt8743064,['US'],2019,See You Yesterday,MOVIE,5.2,10725,86,,7.583,5.6
,"With a short life expectancy, a young girl uses faith and her vivid imagination to navigate adversity and create a story that impacts all around her.",['comedy'],tm836077,tt10945950,['CO'],2019,Holy Expectations,MOVIE,5.2,26,89,,2.294,6.5
,"Teen comedy set in the school-year of 1994. JosÃ© is the new kid on high-school, falling immediately for the popular and freckled Christina. Trying to impress her, he's going to unsuccessfully join the soccer try-outs. Is he shooting way out of his league?","['comedy', 'sport', 'romance']",tm818588,tt9809140,['MX'],2019,All the Freckles in the World,MOVIE,5.2,1290,90,,12.438,6.1
,"A drama film directed by Megha Ramaswamy, starring Priyanka Bose, Manu Rishi Chadha and Yashaswini Dayama in the lead roles.","['drama', 'documentation', 'music']",tm893510,tt12327140,['IN'],2019,What are the Odds?,MOVIE,5.2,840,92,,1.097,6
,"My brother ""Investing"" and his younger brother ""Electric Rabbit"" grew up in an orphanage. They were adopted by the school worker ""Thunder Sir"" and received the help of ""Lei Master"" and stayed in the village boxing gym. The intensive support for the younger brother to go to school, but the electric rabbit made an underground punch to make money, was expelled from school, and the two brothers turned against each other.",['action'],tm464284,tt10076722,['HK'],2019,We Are Legends,MOVIE,5.2,195,108,,1.663,5
,"During 18th century India, the Marathas emerged as the most powerful empire in the nation until the Afghan King Ahmad Shah Abdali plans to take over India. Sadashiv Rao Bhau is brought in to save the empire from the king which then leads to the third battle of Panipat.","['history', 'war', 'romance', 'action', 'drama']",tm455161,tt8176040,['IN'],2019,Panipat,MOVIE,5.2,5615,171,,4.63,7.1
,"Sara, LucÃ­a, SofÃ­a and Claudia are sisters, 4 modern women with very different personalities, who come together at their mother's funeral, after which they discover the man they've all called ""dad"" throughout their lives is not really their father. They embark on a quest to discover who their real fathers are, discovering more about themselves, their mother, and their lives.","['comedy', 'european']",tm463038,tt9150970,['ES'],2019,Despite Everything,MOVIE,5.3,4956,75,,14.306,6
,Two adults go to their middle school reunion in order to show off their success to old bullies teenage crushes..,['comedy'],tm826875,tt10715194,['FR'],2019,Back to School,MOVIE,5.3,1267,83,,5.563,5.4
,"On their last night together, four longtime flatmates' lives are suddenly upended when a secret is revealed during the course of an evening celebration.","['comedy', 'drama', 'european']",tm461827,tt8976832,['ES'],2019,Who Would You Take to a Deserted Island?,MOVIE,5.3,2487,90,,9.328,5
,"1965, Malaysia. A small village helps Khalid and Siti prepare for their wedding day. Soon after, a great darkness falls upon the village as a string of horrific deaths and supernatural happenings create widespread fear and paranoia amongst the villagers. The events force a confession from Khalid to a murder of a girl he made pregnant years before, now believed to have returned as a Pontianak. To kill this vengeful vampire, he rallies all the men of the village and sets out into the jungle to hunt her down. But can the village stop her?","['horror', 'romance']",tm818499,tt9113332,"['SG', 'MY']",2019,Revenge of the Pontianak,MOVIE,5.3,273,92,,4.274,5.2
,A socially awkward teen bonds with a group of misfits who plot to abduct the school's arrogant rich kid -- until their kidnapping scheme turns deadly.,"['crime', 'drama', 'thriller']",tm842829,tt11156614,['PH'],2019,Dead Kids,MOVIE,5.3,494,94,,3.644,5.9
,"Thinking they're about to crash, Emma spills her secrets to a stranger on a plane. At least, she thought he was a stranger...Until she later meets Jack, her company's young CEO, who now knows every humiliating detail about her. Based on the blockbuster NYT bestseller.","['romance', 'comedy']",tm824331,tt8707922,['US'],2019,Can You Keep a Secret?,MOVIE,5.3,16421,94,,12.579,6.553
,"A young woman is sent to Paradise Hills to be reformed, only to learn that the high-class facility's beautiful facade hides a sinister secret.","['scifi', 'thriller', 'fantasy', 'european']",tm358770,tt6127004,"['US', 'ES']",2019,Paradise Hills,MOVIE,5.3,22454,95,,17.062,6.022
,A cop returns to the job. A serial killer too returns to the job.,"['action', 'crime', 'drama', 'horror', 'thriller', 'european']",tm501222,tt8393332,['ES'],2019,Twin Murders: The Silence of the White City,MOVIE,5.3,5307,110,,11.036,5.6
,"A story of a North-east Indian football player who's fighting day and night with the society in order to achieve his dreams. The film covers all kinds of layers in one single film from negative backlashes, social pressures to a complete change over in one's life.","['sport', 'drama']",tm818239,tt10530392,['IN'],2019,Penalty,MOVIE,5.3,878,128,,1.904,5
,"Based on the life of Keshav Thackeray, an Indian politician who is also known as Balasaheb Thackeray.","['drama', 'history', 'action']",tm450375,tt7777196,['IN'],2019,Thackeray,MOVIE,5.3,3365,139,,2.821,5.3
,"Viral video star Miranda Sings and her real-world alter ego Colleen Ballinger share the stage in a special packed with music, comedy and ""magichinry.""","['comedy', 'music']",tm452578,tt9557190,['US'],2019,Miranda Sings Live... Your Welcome,MOVIE,5.4,424,61,,3.222,5.7
,"Amy Schumer's live stand-up set performed in Chicago where she jokes about marriage, pregnancy and personal growth.",['comedy'],tm458721,tt9770590,['US'],2019,Amy Schumer: Growing,MOVIE,5.4,3872,61,,5.334,6.2
,"Christmas brings the ultimate gift to Aldovia: a royal baby. But first, Queen Amber must help her family and kingdom by finding a missing peace treaty.","['romance', 'family']",tm838765,tt10006006,['US'],2019,A Christmas Prince: The Royal Baby,MOVIE,5.4,6764,84,,15.638,6.4
,"Stuart is a having a mid-life crisis. Desperate for something more in life, he tags along on his best friend's family vacation to Paris - then proposes to his friend's 24-year-old daughter, Rosalind, while standing under the Eiffel Tower.","['romance', 'comedy']",tm450478,tt6251390,['US'],2019,Under the Eiffel Tower,MOVIE,5.4,1031,87,,4.634,5.9
,"Bem is the ultimate guy. With good looks, sweet mouth and with an intellect that can only be rivaled by his humour. When Bem is approached by an old friend, Wole Baba, about a job, his first thought is to walk away as he fears the heat that will come with such job. The job is simple enough; there is a stack of forty-two million dollars hidden away in an apartment owned by an unknown politician. If Bem can move the money, he can keep it but for a large chunk that goes to his contact as finder's fee. But when the dangerous man he duped earlier threatens his life, he decides to give it a shot. He reunites with his former partner, Jerome, who left the game after marriage and they both start to plan what could possibly be the greatest heist the country has ever witnessed. After several impossible suggestions, Bem and Jerome come up with a dicey plan. They start to navigate the several problems they could encounter and what was supposed to be a two man job turned to a six man job with every single one of them having an ulterior motive of being on the job.","['comedy', 'crime', 'thriller', 'drama']",tm831934,tt10912990,['NG'],2019,The Millions,MOVIE,5.4,49,94,,1.898,
,"After her best friend dies, Barbs starts a new life as a straight man named Bobby, which leads her to Trisha's ex-boyfriend Michaelangelo, to her own ex-boyfriend Greg and to a woman claiming she is pregnant with Barbs' child.",['comedy'],tm451269,tt9364848,['PH'],2019,Born Beautiful,MOVIE,5.4,119,96,,2.213,5.7
,"After hearing a child screaming for help from the green depths of a vast field of tall grass, Becky, a pregnant woman, and Cal, her brother, park their car near a mysterious abandoned church and recklessly enter the field, discovering that they are not alone and because of some reason they are unable of escaping a completely inextricable vegetable labyrinth.","['drama', 'thriller', 'scifi', 'horror']",tm413660,tt4687108,"['CA', 'US']",2019,In the Tall Grass,MOVIE,5.4,55276,102,,15.188,5.5
,"After her sister died, Alia decides to start a new life by living in an orphanage owned by Mrs Laksmi and Mr Fadli as well as doing social work there. But Alia feels something wrong with the orphanage. Moreover, Nadia, one of the orphanage who apparently also has an inner eyes like Alia, can hears mysterious voices asking for help from all over the walls of the house. Alia and Nadia open a mysterious locked room. Since then disasters begin. It turns out that Alia and Nadia had made a big mistake and releases Darmah, a vengeful spirit that was deliberately locked in the room. Together with Mrs Windu, the paranormal and mentor of her inner eyes, Alia must confront Darmah and save the orphanage.","['thriller', 'horror', 'drama', 'fantasy']",tm451852,tt8890582,['ID'],2019,The 3rd Eye 2,MOVIE,5.4,596,115,,12.245,5.7
,"The story revolves around a young man, Vikram, who is a fashion prodigy. The story is layered with a murder in town.","['thriller', 'drama']",tm816432,tt9176260,['IN'],2019,Bypass Road,MOVIE,5.4,1022,137,,1.523,5.3
,"High End Yaariyaan is a tale of 3 friends Ranjit Bawa, Jassie Gill, and Ninja who lives abroad. The story narrates how their friendship has evolved over a period of time and the struggles they each go through while living away from their homeland.","['romance', 'comedy', 'drama', 'family']",tm460199,tt9176136,['IN'],2019,High End Yaariyaan,MOVIE,5.4,1525,140,,2.169,7.5
,"Set among the cane fields of rural Louisiana, Burning Cane follows a deeply religious mother struggling to reconcile her convictions of faith with the love she has for her troubled son.",['drama'],tm465408,tt7358154,['US'],2019,Burning Cane,MOVIE,5.5,633,77,,2.604,5.8
,A medieval English knight is magically transported to present-day America where he falls for a high school science teacher who is disillusioned by love.,"['comedy', 'drama', 'fantasy', 'romance']",tm679284,tt10060094,['US'],2019,The Knight Before Christmas,MOVIE,5.5,17862,92,,15.628,6.5
,"Albert Pinto goes missing one day and his girlfriend and family start making rounds at the police station to track him down. Unknown to them, he is on his way to Goa to carry out his first assignment as a hitman.","['crime', 'drama']",tm469510,tt4355838,['IN'],2019,Albert  Pinto Ko Gussa Kyun Aata Hai?,MOVIE,5.5,1922,94,,0.717,4
,"When the body of a powerful businesswoman goes missing from the morgue, the inspector-in-charge hunts for the truth. When he questions her husband he realizes that there is much more to the case than meets the eye.","['thriller', 'comedy']",tm973335,tt8130904,['IN'],2019,The Body,MOVIE,5.5,3321,104,,3.311,5.7
,A world-weary man's self-imposed home confinement becomes a comedy of errors with the simultaneous arrivals of a peculiar package and a curious journalist.,['comedy'],tm863514,tt11163028,['IN'],2019,House Arrest,MOVIE,5.5,1655,104,,3.176,6.4
,"In Lagos, Nigeria, young, naive Nigerian journalist Ã’lÃ²tÅ«rÃ© goes undercover to expose the shady underworld of human trafficking. Unused to this brutal environment, crawling with ruthless traders and pimps, Ã’lÃ²tÅ«rÃ© finds warmth and friendship with Blessing, Linda and Beauty, the prostitutes she lives with. However, she gets drawn into their lifestyle and finds it difficult to cope. In her quest to uncover the truth, she pays the ultimate price - one that takes her to the verge of no return.","['drama', 'crime']",tm931701,tt9725830,['NG'],2019,Ã’lÃ²tÅ«rÃ©,MOVIE,5.5,791,106,,3.649,6.2
,"Northern Spain, October 1944. Several groups of guerrilla fighters, former Republican soldiers exiled in France after the end of the Spanish Civil War, infiltrate the country in order to provoke a popular uprising against General Franco's dictatorship.","['thriller', 'war', 'crime', 'action', 'drama', 'european']",tm429172,tt7336684,['ES'],2019,The (Silent) War,MOVIE,5.5,681,123,,4.766,5.9
,"Thanks to Green Goblin and Venom, tech theft is now at an all-time high. Can our Friendly Neighborhood Spider-Man put an end to their mysterious villainous scheme before all of New York City is destroyed?","['animation', 'action', 'comedy', 'family']",tm827304,tt10755644,['US'],2019,LEGO Marvel Spider-Man: Vexed by Venom,MOVIE,5.6,311,21,,9.62,7.2
,"NaÃ¯ma has just turned 16. This summer, she will have to decide what she wants from life if she doesnâ€™t want to miss out. Then her cousin Sofia arrives, with an amazing body and a dangerously seductive lifestyle. NaÃ¯ma desires only to follow her own path, so long as it leads upwardsâ€¦ Despite the warnings of her best friend Dodo, she and Sofia will live through unforgettable encounters during a long summer that will mark them forever.","['comedy', 'drama', 'european']",tm471922,tt9632590,['FR'],2019,An Easy Girl,MOVIE,5.6,5045,92,,16.345,5.6
,An idealistic cop joins an underground police unit and battles ghoulish forces threatening the balance between the human and the supernatural realms.,"['crime', 'fantasy', 'thriller', 'drama', 'action']",tm820338,tt10871460,['TW'],2019,The 9th Precinct,MOVIE,5.6,535,94,,14.932,6.1
,"In the context of a romantic comic, Omar marries his beloved Nessma despite her father's strong rejection of the matter, and after the wedding ceremony ends, if the unidentified men assault the bride's car, Omar asked his wife to escape, and during her escape, a car accident occurs, and she is transferred to the hospital, and after she wakes up From the coma, she is severely traumatized, and refuses to see her husband Omar because she does not feel safe with him, so Omar has to go to a psychiatrist to help him solve the problem",['comedy'],tm815438,tt10446658,['EG'],2019,Sab el-Burumbah,MOVIE,5.6,506,95,,3.134,5.6
,"After moving to a retirement home, restless talent manager Al reconnects with long-ago client Buddy and coaxes him back out on the comedy circuit.",['comedy'],tm450673,tt7427356,['US'],2019,The Last Laugh,MOVIE,5.6,5859,98,,9.83,5.4
,"Paul Diallo, a history teacher, lives a quiet life with his wife and kid. During summertime, he lends his house to his sonâ€™s babysitter and her boyfriend. When they return, the Diallo family finds a closed door â€“ locks have been changed and the new occupants maintain they are in Â« their home Â». With no one to turn to, Paul gets closer to Mickey, a shady local man with a penchant for all things extreme and illegal. Soon the once anti-violent teacher is approaching the point of no returnâ€¦","['thriller', 'drama', 'horror']",tm897170,tt8246392,['FR'],2019,Furie,MOVIE,5.6,2766,98,,12.402,5.8
,"When city girl Gabriela spontaneously enters a contest and wins a rustic New Zealand inn, she teams up with bighearted contractor Jake Taylor to fix and flip it.","['romance', 'comedy']",tm824165,tt9860752,['US'],2019,Falling Inn Love,MOVIE,5.6,19559,98,,19.061,6.529
,"Children who play constantly with their phones now seem to have forgotten to play on the street. At the insistence of new friends, children decide to play in the park again to end this course. But there is a problem: Bad Kazim sitting in the house next to the park. What is the secret of the evil Kazim who scares everyone who comes to the park? Will the children be able to take the park back from Kazim?","['comedy', 'family']",tm476708,tt9533342,['TR'],2019,Kids on the Block,MOVIE,5.6,361,103,,2.383,5
,Sweety has to contend with her over-enthusiastic family that wants her to get married but the ultimate truth is that her love might not find acceptance in her family and society.,"['drama', 'comedy', 'romance', 'crime']",tm423624,tt8108164,['IN'],2019,Ek Ladki Ko Dekha Toh Aisa Laga,MOVIE,5.6,4378,121,,3.371,5.8
,"Irrepressible French comedian Fadily Camara weaves jokes, vivid characters and physical comedy into a lively stand-up show at La Cigale in Paris.",['comedy'],tm842869,tt11168150,['FR'],2019,Fadily Camara: La plus drÃ´le de tes copines,MOVIE,5.7,50,54,,2.2,6.3
,"On the first night of spring, the Super Monsters gather for food, fun and games in the park -- and get to meet their adorable new pets!","['fantasy', 'animation']",tm468824,tt10087988,[],2019,Super Monsters Furever Friends,MOVIE,5.7,70,58,,22.32,6.2
,"In his first-ever stand-up special, Ken Jeong shares hilarious stories from his Hollywood career -- and reveals how ""The Hangover"" saved his life.",['comedy'],tm452996,tt8466562,['US'],2019,"Ken Jeong: You Complete Me, Ho",MOVIE,5.7,2402,62,,4.573,6
,"Adam and Marklinâ€™s 5-year relationship has gone from a passionate flame to a simmer, forcing them to reconcile with each otherâ€™s shortcomings while their friends endlessly search for love in New York City.","['comedy', 'drama', 'romance']",tm472195,tt8739582,['US'],2019,Almost Love,MOVIE,5.7,1133,94,,4.298,6.4
,"Socialite Vita Sackville-West and literary icon Virginia Woolf run in different circles in 1920s London. Despite the odds, the magnetic Vita and the beguiling Virginia forge an unconventional affair, set against the backdrop of their own strikingly contemporary marriages; which inspired one of Woolf's most iconic novels, 'Orlando'.","['drama', 'romance', 'european']",tm426638,tt5859882,"['GB', 'IE']",2019,Vita & Virginia,MOVIE,5.7,3823,110,,8.037,6.9
,A young Western woman is recruited by the Mossad to go undercover in Tehran where she becomes entangled in a complex triangle with her handler and her subject.,"['thriller', 'drama', 'action']",tm452851,tt8000718,"['IL', 'US', 'FR', 'DE']",2019,The Operative,MOVIE,5.7,6250,120,,18.028,5.7
,"On India's Independence Day, a zany mishap in a Mumbai chawl disrupts a young love story while compelling the residents to unite in aid of a little boy.","['romance', 'drama']",tm461427,tt9817300,['IN'],2019,15-Aug,MOVIE,5.7,273,124,,2.559,7
,M'Dear and her sisters struggle to keep their singing act together before a church Christmas pageant while Grandpa teaches the kids a valuable lesson.,"['comedy', 'family']",tm845942,tt11193888,['US'],2019,A Family Reunion Christmas,MOVIE,5.8,219,29,,7.028,6.1
,"David Harbour delves into the enigmatic history of his legendary acting family, as he examines his father's legacy and role in a made-for-TV play.",['comedy'],tm816593,tt10516390,['US'],2019,"Frankenstein's Monster's Monster, Frankenstein",MOVIE,5.8,2198,32,,4.051,6
,Jenny Slate's debut stand up-comedy special blends with home videos from her childhood and interviews of her with her family.,"['comedy', 'reality']",tm835486,tt10971520,['US'],2019,Jenny Slate: Stage Fright,MOVIE,5.8,1291,66,,3.462,5.9
,A pampered dog named Trouble must learn to live in the real world while trying to escape from his former owner's greedy children and must learn how to survive on the big-city streets.,"['action', 'family', 'comedy', 'music', 'animation']",tm461159,tt6772524,['CA'],2019,Trouble,MOVIE,5.8,3281,88,,17.173,6.7
,Time passes and tension mounts in a Florida police station as an estranged interracial couple awaits news of their missing teenage son.,['drama'],tm826368,tt9664078,['US'],2019,American Son,MOVIE,5.8,7004,90,,7.334,6.1
,"When Sarah lucks into a sweet one-bedroom at Asilo Del Mar Apartments in Los Angeles, she think she's hit the jackpot. It's got plenty of space, friendly tenants, group BBQs and even a cute neighbour next door. All is not what it seems: loud noises start keeping her awake at night; her cat is missing; everyone seems to be a little too helpful and friendly, except for the weirdo, Lester. Soon, Sarah learns she didn't choose this apartment â€” it chose her.","['thriller', 'drama', 'horror']",tm817504,tt7541106,['US'],2019,1BR,MOVIE,5.8,12397,90,,15.943,6.1
,"Can one woman have everything? Facing her 40s, a highly accomplished woman, with a host of suitors at her feet, faces hard decisions about love, family, and her future.",['drama'],tm843408,tt14605914,[],2019,She Is,MOVIE,5.8,6,106,,1.103,
,A gravity-defying boy raised in seclusion matures into an extraordinary man -- and an international celebrity -- who longs for human connection.,"['fantasy', 'drama', 'comedy']",tm836638,tt9646240,"['BE', 'FR', 'IT']",2019,The Man Without Gravity,MOVIE,5.8,2547,107,,5.813,7.2
,Dorasani explores the periodic tale of love between a rich lady Devaki and a poor boy Raju.,"['drama', 'romance']",tm813634,tt10369210,['IN'],2019,Dorasani,MOVIE,5.8,199,130,,2.545,4
,"Malaal is the story of Shiva and Astha, two very different people from contrasting backgrounds who experience the innocence of love. Does their love find its destination or do they part ways? Stay on this journey to find out.","['drama', 'romance', 'action']",tm675154,tt10305616,['IN'],2019,Malaal,MOVIE,5.8,1066,136,,1.644,5.3
,"A hilarious story of a 36-year-old jobless man Pushpender, trying to find a wife and Anita who's also looking for a husband. But there's a catch - Anita wants to settle abroad after marriage.","['comedy', 'romance']",tm492043,tt9172840,['IN'],2019,Motichoor Chaknachoor,MOVIE,5.8,2856,150,,1.56,6.7
,"The Super Monsters share their Halloween traditions with Vida, then get invited to a DÃ­a de los Muertos party in the Howlers' backyard.","['comedy', 'animation']",tm836501,tt10927576,[],2019,Super Monsters: Vida's First Halloween,MOVIE,5.9,37,24,,2.494,5
,"When Melvin tries to cancel Halloween, clever best friends Harold and George create their own spooky holiday -- and it's a huge success.","['action', 'comedy', 'family', 'animation']",tm835512,tt10945060,['US'],2019,The Spooky Tale of Captain Underpants Hack-a-Ween,MOVIE,5.9,208,45,,6.989,6.2
,"Comedian Jeff Garlin (unintentionally) celebrates his 37th year of stand-up and shares his learnings on love, loss, success and food addiction.",['comedy'],tm840208,tt11108064,['GB'],2019,Jeff Garlin: Our Man in Chicago,MOVIE,5.9,425,58,,2.251,6.3
,"A billboard wreaks havock in a Hong Kong family life. The Lo family live in an old  flat in the middle of a noisy neighborhood: father, mother, unemployed son, teenage daughter and his elderly, disabled father. Now a billboard is blocking their view and their already chaotic life becomes sheer madness.","['comedy', 'drama']",tm454431,tt8443432,['HK'],2019,A Home with a View,MOVIE,5.9,301,92,,2.904,6
,"A woman who works as a DJ is known to live alone and has her own messy world, but when she meets a teacher who is always serious and well organized, the contradiction between their personalities result in many comedic situations.","['comedy', 'drama', 'romance']",tm483190,tt9822904,[],2019,Time Out,MOVIE,5.9,47,93,,,
,A wannabe bride seeks professional help to find a husband and in the process finds herself.,"['romance', 'comedy']",tm462611,tt6736198,['MX'],2019,Ready to Mingle,MOVIE,5.9,2370,97,,9.653,6.8
,"To find Joseba, a dying friend, and see him reunite with his daughter Ely, two old friends, Jean Pierre and Tocho, embark with her on a road trip through the Sahara desert, from Spain to Mali.","['comedy', 'drama', 'european']",tm460360,tt8242160,"['ES', 'FR']",2019,4 latas,MOVIE,5.9,3268,105,,7.463,5.8
,"After knocking a celebrity unconscious before a huge job, a bumbling pack of pals tries to avoid a lawsuit by replacing her with a look-alike.",['comedy'],tm845616,tt11280100,['TH'],2019,Tootsies & The Fake,MOVIE,5.9,485,108,,3.134,4.6
,"After his crew breaks up, a gifted but insecure hip-hop dancer teaches at a top ballet school in Paris, where he falls for an aspiring ballerina.","['drama', 'comedy', 'music', 'family']",tm421560,tt8599746,"['BE', 'FR']",2019,Let's Dance,MOVIE,5.9,1412,109,,6.772,6.5
,"Nimbe is a story addressing the issues associated with drug abuse, some of the causes, how to identify and avoid such.",['drama'],tm498444,tt8718112,[],2019,Nimbe: The Movie,MOVIE,5.9,57,110,,,
